,product_name,price_RM,discount_percent,quantity_sold,original_price_RM
131,EKLEVA 10.26 Inch Dash Cam 4K Dual Lens Night Vision Car Dvr 24H Parking Monitoring Camera Driving Recorder Support GPS WIFI BT Carplay,458.86,50,13000,917.72
132,HD Car Dash Camera USB Front DVR Camera Dash Cam Car Recorder Car Camera Recorder,31.93,5,67,33.61
133,"EKLEVA 11.3"" Car DVR Carplay Android Auto Dashcam 4K 3840*2160 Front And 1080P Rear Camera Voice Control BT FM GPS Recorder Dual lens",489.16,49,5,959.14
134,"1080P Car Camera screen Vehicle Video Dash Cam Dual Lens front and rear Car DVR Driver Recorder 170° wide loop recording with waterproof HD rear camera 4"" Touch Screen Video Recorder Front  行车记录仪",68.9,50,52000,137.8
135,Dashcam for Car WIFI Dash Cam 2 Camera Lens Car DVR Dashcam 3-Channel Dash Cam HD 1080P Camera with Rear Camera Night Vision Driving Video Record,62.9,58,41000,149.76
136,&lt;3 CAR CAMERA&gt; 3 Lens Dash Cam 1080P Full HD DVR Dash Cam 170 Wide Angle G-Sensor Recorder Rear View Car Camera 行车记录仪,65.5,50,160,131.0
137,DDPai Dash Cam Mola N3 Pro GPS 1600P HD Vehicle Drive Front Rear DVR Android Wifi Smart Connect Car Camera Recorder,239.0,75,6,956.0
138,"EKLEVA 4 Inch IPS Touch Screen Dual Lens Dash Cam Full HD 1080P DVR Car DVR Backup Rear View Car Video Recorder Night Vision 170°Wide Angle, G-Sensor, WDR, Parking Monitor, Loop Recording, Motion Detection",125.66,78,240000,571.18
139,EKLEVA Car DVR Dash Camera Mini WIFI Dash Cam Digital Video Recorder Camcorder 1080P Night Version Novatek 96658 IMX 322 WiFi Hidden Dash Cam,116.27,72,51,415.25
140,70mai A200 Dash Cam Dual Channel (Front + Rear) 1080p Full HD+ HDR Support 24Hours Parking Surveillance & Apps Control,239.7,19,17,295.93
141,Aitemay 2 in 1 Car DVR Radar Detector G-sensor Motion Alert Night Vision Camera Driving Recorder Video Camera Stream Detection Dash Cam,101.09,48,6,194.4
142,"HD013 2K HD WIFI dashcam for car 4"" inch 2 Lens front and rear dash cam Car camera Recorder night vision App Control DVR行车记录器",89.0,56,68,202.27
143,3 Camera Dashcam For Car Dashcam 1080P HD Car Camera Recorder Multifunction Night Vision Car Cam Auto Driving Recorder DVR Parking Monitor 行车记录仪,68.9,3,13,71.03
144,EKLEVA 12 Inch Stream Media Mirror Car Camera Dual Lens FHD 1080P Car DVR Camera RearView Mirror Driving Video Recorder Dash Cam,204.89,30,13,292.7
145,(5year warranty) 3-Way Record Car Camera Dashcam Front + Back + Interior Recorder Video Cam Night Vision G Sensor,75.74,31,304,109.77
146,⭐ [100% ORIGINAL] ⭐ 1080 HD CAR CAMERA DASHCAM RECORDER VEHICLE 24 HOUR AUTO RECORD CCTV MINI HOLDER,50.42,33,14,75.25
147,EKLEVA 1.5 Inch Dash Cam WIFI 1080P Car DVR Dash Cam Night Vision Car Driving Recorder DVR Dashcam,76.55,50,25,153.1
148,Asawin H5C-ST 10 In Rear View Mirror Dash cam For Car Dvr Front And Back FULL Screen 24H Park Mode Touch Ips Reverse Image H5C,138.8,53,117,295.32
149,G30 Car DVR Camera Full HD 1080P 140 Degree Dash Cam Video Register For Car Night Vision G Sensor Dash Cam 1.5 Inch Driving Night Vision Video Recorder With Windshield Xiaomi 32G Memory Card,38.38,6,11,40.83
150,70mai A500S Dashcam Pro Plus+ Car Recorder 1944P A500 Night Vision ADAS Parking Mode App Control,329.0,33,12,491.04
151,"ETTRO A10 Dash Cam Car Camera Recorder Front and Back Dual Lens Dashcam Video Cam Night Vision 1296P FHD 4""",94.9,32,62000,139.56
152,70mai Dashcam PRO PLUS+ A500S Car Recorder 1944P car camera rear cam wifi app control GPS Built in ADAS A500 Global Version,359.0,37,12,569.84
153,EKLEVA 2K Car Mirror DVR 12 Inch Rearview Mirror 1440P Dash Camera Dual lens 1080P Waterproof Rear Camera Video Recorder Night Vision Registrar Special for Right-hand Driver Design,304.64,67,12,923.15
154,IROAD X6 DASH CAM FULL HD,990.0,50,85,1980.0
155,Car Dashcam A20 HD 1080P Dual Camera Front Rear Two Lens Dash Cam Night Vision Video Recorder,59.9,50,85,119.8
156,Let Me Swim GOU7 Car Dash Cam 2024 New Model Front and Rear 4K Ultra High Definition Monitoring Night Vision Enhancement Loop Video Reversing Image Parking Monitoring,54.9,35,15,84.46
157,EKLEVA Dash Cam ADAS Car DVR ADAS Dashcam DVRs Video HD USB Auto Car Recorder for Android Multimedia Player DVD,46.16,50,18,92.32
158,Car DVR FHD 1080P Night Vision Upgraded 2.0 Inch Mini Car Screen Dash Camera Night Vision Dashboard Camera Parking Monitor,29.79,73,98,110.33
159,1296P HD dash cam car dashcam 3 camera reverse camera car camera recorder motorcycle dash cam 32G memory card,92.59,62,8,243.66
160,Ettro AS602 Mini Car Camera HD 1080P Wifi DVR Dash Cam Night Vision G-sensor,56.05,15,48,65.94
161,【Malaysia Spot Sale】2024 FHD 3 camera driving recorder 1080P wide Angle three lens recorder in front of the car inside the car high-definition driving camera 行车记录仪,65.9,54,100,143.26
162,HD 1080P Car DVR Camera For Vehicle 3 Lens Dash Cam 4.0 Inches Recorder Video Rear View Camera Black Box Loop Recording,60.46,45,29,109.93
163,WIFI VERSION Roadcam 3 Camera Lens Vehicle Traveling Data Video Recorder 1080P HD Night Vision 24H Vehicle Camera Parking Monitoring Loop Recording,19.8,20,65,24.75
164,LOCAL Seller FULL HD Car Camera with Parking Mode Auto LOOP Long Lasting Standby Time,27.55,58,20,65.6
165,Sanlu High Definition Wifi Driving Recorder 4K Night Vision Panoramic Dashcam Front + Interior + Back / Rear 3 Channel Car Driving Video Recorder 24 Hours Record,69.39,20,5,86.74
166,70mai Omni X200 360° Dashcam 4G ADAS & GPS AI Motion HDR Night Vision Voice Control | Official 70MAI 1 Year Warranty,619.0,36,63,967.19
167,TiESFONG Car Dash Cam 4 Channel 4*1080P for Car DVR 360°Auto Video Recorder with Night Vision WiFi Camera with 64GB Support GPS Cable (A99),299.99,55,12,666.64
168,70MAI 1S M300 Car Recorder Dashcam Dashboard 70 MAI Car Cameras WiFi APP CONTROL SONY IMX307 - ORI techsome,149.0,36,110,232.81
169,1080P Q2 Mini Car DVR Recorder Audio Camera Driving Recording,27.5,45,10,50.0
170,[Add on Module] 70mai Interior Dash Cam FC02 Car Camera Recorder 1080P Full HD Resolution 130° View Infrared Night Vision,109.0,10,66,121.11
171,Driving Recorder Infrared Night Vision Car Parking Monitoring Car DVR Car Video Recorder Car Black Box Recorder Q1,27.45,38,18,44.27
172,EKLEVA HD Car Dash Cam 3.16-inch Dual-lens Driving Recorder Front Inside Camera G-sensor Hd Night Vision Wide-angle Car Dvr,114.61,51,441,233.9
173,"(Ship from Malaysia) 1296P Dual Lens 4"" Touch Screen Car Dash Camera Recorder DVR Dash Cam Front and Rear Reverse Cam Recording Night Vision 170° degree Wide Angle Dashcam with memory card 32G",65.5,56,92,148.86
174, Car Camera G30 Car DVR Dash Cam Full HD 1080P Video Camcorder with Night Vision Loop Recording G-sensor,27.55,50,10,55.1
175,AKEEYO 4K Motorcycle Dashcam AKY-710S,499.0,50,13,998.0
