,product_name,price_RM,discount_percent,quantity_sold,original_price_RM
176,"【Malaysia Spot Sale】1296P Dual Lens 4"" Touch Screen Car Dash Camera Recorder DVR Dash Cam Front and Rear Reverse Cam Recording Night Vision 170° degree Wide Angle Dashcam",92.0,31,348,133.33
177,70mai A800S Dual-vision 4K With Rear Cam Dash Cam Built in GPS Night Vision ADAS App Control A800 A800s,579.0,38,10,933.87
178,EKLEVA 11.3 INCH 4K Dash Cam Rearview Camera Carplay & Android Auto Smart Player GPS Navigation Car DVR WIFI Dual Lens Monitor,495.43,50,41,990.86
179,EKLEVA 3 Channel Car DVR HD 1080P Dash Cam For Car Three Way Dashcam Black Box Driver Video Recorder Car DVR Rear View Camera,113.82,27,21,155.92
180,70mai A200 Dashcam Dual Channel Recording 1080P Full HD+ HDR | 24H Parking Surveillance,244.19,32,248,359.1
181,EKLEVA 3.0 Inch LCD Full HD 1080P Motorcycle DVR Dash Cam Front Rear Wide Angle View Video Recorder Motorbike Dashcam DVR,163.68,26,10,221.19
182,DrNano Labcel A2 10 Inch Touch Screen dash cam for car English voice voice control Dual Lens 24H Loop Record,129.0,49,31,252.94
183,【18 Months Warranty】FELEMENT dashcam LF9 Pro dashcam for car Front Dash Cam 24H Record FHD 2K UHD Night Vision 170° FOV WDR App Control Smart Enhanced Free Wifi Loop Recording G-Sensor Auto Voice Prompt,130.05,15,15000,153.0
184,"Driving Recorder Front interior Rear Three lens onboard 4"" Screen 1080P Dash Cam Front+Interior+Rear Car Driving Recorder Suction Cup Mount",62.0,59,74000,151.22
185,HD022 1296P HD WIFI DashCam for car App Control 2 lens dash cam Recorder front and rear camera Parking Mode 行车记录器,109.0,24,466,143.42
186,"2024 New 4"" Screen 1080P Dash Cam Front+Interior+Rear Car Driving Recorder Suction Cup Mount 行车记录仪",62.0,54,92,134.78
187,KAWA MINI 3 Hidden Dash Cam For Car Camera DVR Video Recorder 1296P Voice Control WDR/3D DNR Super Night Vision WiFi APP 2024New,157.39,77,19000,684.3
188,4.0'' 3 Way Car Dvr Dashcam Recorder Video Rear View Camera Auto Dash Cam DVR Dual Lens Blackbox Recorder,109.0,29,149,153.52
189,"1080P FULL HD Mirror Car Dash Cam Front Video Camera Recorder (4.3"" LCD Screen Display)",49.9,51,33,101.84
190,VIOFO A119 v3 QHD 2K Dashcam With GPS Installation Available,439.0,3,17000,452.58
191,GetGadget⚙ Dashcam 4.2' Dual Lens Car Camera HD Auto DVR Rearview Mirror Dash Cam Cars Recorder Video 1080P Night Vision Vehicle Blackbox DVR,13.9,60,15000,34.75
192,VSYS SYS Dual 1080p FHD motorcycle DVR wifi camera waterproof Dash Camera front and rear view Motor recorder,228.0,36,26,356.25
193,EKLEVA 4.3 inch Mirror Recorder HD 1080P Dash Cam 4K LCD Display Video Recorder Night Vision Wide Angle Car Mirror Video Recorder,83.81,54,17,182.2
194,"3 channels 2K Car Camera Wifi Gps ADAS dash cam Asawin 2.45"" Touch Ips Screen Front And inside Rear Night Vision LDWS FCWS G-sensor Support 24H Park Mode",198.8,49,569,389.8
195,Blueskysea DV777 Dual Screen 1080P Full HD Motorcycle Dashcam 3 Inch Waterproof Mini Camera  with WiFi GPS Motorcycle Motor DVR Dash Cam Black Box,399.0,49,164,782.35
196,TiESFONG Car Dash Cam 4 Channel A99 FHD 1080P for Car DVR 360°Auto Video Recorder with Night Vision WiFi Support 24H Parking Monitor and 256GB card,384.57,47,37,725.6
197,🔥Fast Delivery🔥2.2 Inch Auto Car Dash Cam Front and Rear Camera CAR DVR Car Video Recorder Vehicle Black Box FULL HD 1080P Night Vision Driver Recorder,33.47,44,124,59.77
198,🔥 READY STOCK 🔥 70mai Dashcam PRO PLUS+ A500S Car Recorder 1944P Local Warranty 1 Year Malaysia Version English Version Rear Cam GPS App Control Night Vision Dual Vision A500s With RC06 Rear Camera,127.57,45,6,231.95
199,EKLEVA Car DVR 3 Lens Dash Cam Night Vision FHD 1080P Dash Camera Rearview Camera Video Recorder Auto Car Dvrs DashCam Three Viewing displayed on the screen at the same time,193.25,51,11,394.39
200,"Hot dash cam W/ IR night vision loop recording & 2 ""IPS screen 1080p 3 cameras",54.0,55,13,120.0
201,[Local Warranty 1 Year] Malaysia Version English Version 70mai M300 Car Recorder Dash Cam 1296P 140 FOV WDR App Control Parking Mode,185.0,36,111,289.06
202,24HOURS CCTV CAR CAMERA DASHCAM FRONT VIDEO BRIGHT NIGHT VERSION AUTO LOOP,5.0,34,171000,7.58
203,Car DVR Dash Cam WiFi FHD1080P Drive Video Recorder Dashboard Camera Parking Monitor Video Loop Recording Night Vision Black Box,43.6,43,5,76.49
204,Dash Camera Car Video Recorder Dual Lens Camera (Front and Interior) Ultra Clear Day & Night 1080P FHD A68,79.0,47,8,149.06
205,Sanlu High Definition Wifi Driving Recorder 4k 24 Hours Record Dashcam Driving Video Recorder Car Night Vision Panoramic Camera Front + Interior + Back / Rear 3 Channel,69.39,36,372,108.42
206,"Clear car front and rear 360 Dashboard Camera Dash Cam DVR3"" Lens Driving Recorder with 2 Lenses Super Night Vision High Quality Durable  dashcam for car",82.4,49,28,161.57
207,Pioneer ND-DVR160s P2 2K HD Dashcam DVR Car Recoder Rearview Mirror Recorder Front and Rear Camera Reverse Image,49.9,13,97,57.36
208,ROADCAM WIFI Q3 (WIFI VERSION) Budget Dash Cam Dual Channel Recording 1080P Full HD Silver Black,137.6,50,98,275.2
209,JaneDream 3.0  LCD 720P Car DVR Dash Camera Video Recorder G-sensor 170° Night Vision,38.23,51,181,78.02
210,Ettro 4 inch Car Recorder Dash Cam 1080P Dual lens Touch Screen HD Driving Recorder/HD Night Vision/DVR Parking Monitor,64.9,41,416,110.0
211,"EKLEVA Wireless Apple CarPlay Dual Bluetooth DVR untuk motosikal 1080P + 1080P 5 ""IPS navigasi GPS mudah alih Android Auto Motorbike IPX7 kalis air",788.39,58,59,1877.12
212,70mai Rear Camera RC09 1080P for 70mai A400 Dashcam,105.0,17,30,126.51
213,EKLEVA Dash Cam Car DVR Camera Full HD 1080P Drive Video Recorder Registrator Auto Dashboard 1296P Dual Dashcam Black DVRs Box,111.88,70,270,372.93
214,EKLEVA 5 inch Center Console Car DVR Camera With Rear View Camera HD 1080P Dash Cam Night Vision Wide Angle Video Recorder Auto Dashcam,112.79,70,151,375.97
215,70mai A500s Dashcam Pro Plus + with Rear Camera [1944P Resolution | 5MP Camera | Built-in GPS with ADAS],339.0,27,225,464.38
216,"Dashboard Camera Recorder Car Dash Cam 4"" Dashboard Camera Recorder Front Rear Dual Lens 170° Wide Angle Car Camera Driving Recorder Car Dash Cam 行车记录仪",69.9,31,67,101.3
217,EKLEVA 1080P Dash Cam for Car Camera Wifi Dvr Para Coche Dashcam 24h Parking Monitor Voiture Kamera Mini Hidden Auto Video Registrator,102.04,6,77,108.55
218,AZDOME M63Lite 2160P/4K Ultra HD Dual Channel Front & Rear DashCam Night Vision App Control Car Camera Driving Recorder,231.0,50,6,462.0
219,South Ocean 3 Camera Lens Car HD 1080P 24h Parking Monitor DVR Wifi Dash Cam Video Recorder Dashcam,69.9,76,595,291.25
220,DDPAI Dash Cam Mini Pro 1296P Ultra HD Vehicle Drive Auto Video DVR Android Wifi Smart Connect Car Camera Recorder,149.0,48,11,286.54
221,EKLEVA Mini Car Front Camera DVR Video Recorder 3-Inch IPS Screen 2 In 1 Dual Lens FHD 1080P Dash Cam Night Vision Dashcam Black Box,97.69,62,275,257.08
222,70mai A810 Ultra HD 4K Dash Cam Built-in GPS ADAS 150°FOV Motion Detection Car DVR Support Rear Cam,599.0,54,45,1302.17
223,South Ocean 24H Record 1080P GPS Dashcam for Car Dash Cam Dual Camera Front & Back With Night Vision WDR APP DVR Mini Car Camera Recorder,119.0,45,10,216.36
224,70mai S500 Rearview Dashcam & Rear Cam RC13,599.0,57,24000,1393.02
225,70mai Omni X200 360° Dashcam 4G GPS AI Parking Surveillance HDR Night Vision ADS Voice Control 60 FPS Car Finder,539.0,59,261,1314.63
226,GOQ D90 3-Way Record Car Camera HD Recorder Front + Back + Interior Dashcam Video Cam Night Vision,89.0,33,16,132.84
227,KANGZOG 行车记录仪 24 Hours Record 1080P FHD 3 Camera Dashcam for Car Front + Interior + Back / Rear Dash Cam Night Vision Parking Mode Car DVR Driving video Recorder 行车记录器,79.8,40,14,133.0
228,"Seicane 4K 10.26"" Car Carplay Dash Camera DVR Android Auto WiFi FM Rearview Camera Support Dual Lens H.265 1080P built-in Carplay and Android Auto Support 24H Park Mobile Phone play back",329.0,37,38,522.22
229,Podofo ADAS Auto DVR Camera HD 1080P Dash Camera USB Loop Record G-sensor  Car Recorder for Android,31.7,32,5,46.62
230,70mai M300 Dashcam Car Recorder 3MP 1296P 140 FOV WDR App&Voice Control Parking Mode Emergency Recording/Loop Recording Dash Camera With 32G/64G/128G TF Card,199.0,17,375,239.76
231,VSYS SYS WiFi motorbike Dash cam Dual 1080p FHD motorcycle DVR waterproof bike video recorder front and rear view camera system mini box easy installation,232.8,55,418,517.33
232,Car Dashcam Botslab by 360 dashcam G300H 1296P FHD Built-in GPS Car Recorded,332.22,55,10,738.27
233,"4K WIFI RearView Mirror Dash cam GPS ADAS Asawin H109 Front And Back For Car DVR Camera Dual Lens 10"" FULL Screen Touch IPS 24H Park Mode",179.8,78,6,817.27
234,70mai 1080P RC06 RC09 Rearview Cam for 70mai Dash Cam A800S A400S A500S Car Camera【Ready Stock】,85.0,53,30000,180.85
235,70mai Dashcam PRO PLUS+ A500S Car Recorder 1944P Rear Cam GPS App Control Night Vision Dual Vision A500s With RC06 Rear Camera Local Warranty 1 Year Malaysia Version English Version,128.0,57,7,297.67
236,EKLEVA 3 Inch IPS WIFI Dash Cam car Dvr HD 1080P 170 Wide Angle Super Night Vision Mobile Internet Front Carbin Rear View 3 lens Black Box,141.46,50,136000,282.92
237,Camera Car Dashcam Dash Cam 1080P HD Car Camera Recorder Night Vision Car Cam 170° Wide Angle Driving Recorder 行车记录仪,14.9,57,537,34.65
238,VSYS SYS 170 degrees 2K Sport camera high video quality mini motorcycle bicycle Dash cam wifi video recorder helmet camera with  brackets motorcycle DVR,209.0,62,106,550.0
239,WIFI Car DVR Dash Camera USB WIFI Car Recorder Vedio Car DVR Camera Recorder DashCam,43.44,34,122,65.82
240,70mai dashcam LF9 Pro dashcam for car Front Dash Cam 24H Record FHD 2K UHD Night Vision 170° FOV WDR App Control Smart Enhanced  Wifi Loop Recording G-Sensor Auto Voice Prompt,127.0,22,74,162.82
241,70mai A500s Dashcam Car Recorder 70mai (APP Control) GPS Function ADAS Parking Mode 1944p Dual Record,348.88,29,798,491.38
242,"新款2023超高清前后双镜头行车记录仪360度全景后置倒车影像夜视Kamera dash dwi-lensa depan dan belakang 2023 yang baharu, imej pembalikan belakang panorama 360 darjah, penglihatan malam",73.0,77,288,317.39
243,Car DVR Dash Cam 3 Lens HD 1080P WIFI Driving Recorder Wide-Angle Night Vision Car Camera Loop Recording Mode 行车记录仪,84.24,30,914,120.34
244,24Hours 3-4 Channels Display Dashcam FHD Built-in WIFI Time Lapse Infrared Loop Recording Parking Monitor,99.5,51,21,203.06
245,"2K Dash Cam Wifi Gps ADAS Car Camera Asawin 2.45"" Touch Ips Screen Front And Rear Night Vision LDWS FCWS G-sensor Support 24H Park Mode",168.8,59,88,411.71
246,Driving Recorder Front interior Rear onboard Dashcam car front and rear 360 HD 1080P camera night vision dual view DVR Driving video Recorder 行车记录器,298.0,17,20,359.04
247,[Local Warranty 1 Year] Malaysia Version English Version 70mai Car Recorder Dashcam 1S 1080p HD Video 130 FOV Kereta Car Cam Record,59.9,6,667,63.72
248,[Local Warranty 1 Year] Malaysia Version English Version 70mai Car Recorder Dashcam 1S 1080p HD Video 130 FOV Kereta Car Cam Record,59.9,45,119,108.91
249,[OFFICIAL English Version MI 70MAI MALAYSIA WRTY] Xiaomi GPS ADAS Module Car DVR Camera Video For XIAOMI MI 70mai pro lite Dash Cam Pro English Version (English),59.0,54,58,128.26
250,3 Channel Car DVR HD 1080P 3-Lens Inside Vehicle Dash CamThree Way Camera DVRs Recorder Video Registrator Dashcam Camcorder,61.73,3,34000,63.64
251,5Pin 2.5mm Jack HD 4 LED Rear View Camera For Car Dash Camera,17.55,16,11,20.89
252,DDPAI N1 Dual Car Dashcam Front Rear Recording Car Dashcam 1296P Camera Dashcam,207.0,51,6,422.45
253,70mai A810 4K Dash Cam Dual Vision Car Recorder with GPS ADAS [Pre-Order 14 Days],639.0,50,16,1278.0
254,"Clear Car Dashboard Camera Dash Cam Car Dashboard Camera Car DVR3"" Lens Driving Recorder with 2 Lenses Super Night Vision",82.4,49,368,161.57
255,MOTOROLA MDC400 Black Full HD (1080p) Car DVR Dash Cam Camera with Automatic Collision Detection and Recording,119.0,11,90,133.71
256,STAPON 1920x1080P Driving recorder dashCAM camera USB DVR for android unit ADAS Support Automatic loop recording Collision lock file S80,69.0,25,47,92.0
257,24 Hours Record 3 Camera Dashcam for Car Front + Interior + Rear 1080P HD  Dash Cam Night Vision Parking Mode Car DVR Driving video Recorder,65.0,57,15,151.16
258,EKLEVA Dashcam Car DVR Camera WIFI GPS Speed GPS coordinates 2K HD Night Vision Dash Cam 24H Parking Monitor Dash Cam Dashboard Camera Car Video Driving Recorder Vehicle Camera,198.92,56,16,452.09
259,EKLEVA Car Perfume 1080P Dash Cam Air Fresher Car DVR HD Night Vision Camera Video Recorder Auto With Rear View Camera Vehicle Dvr,136.14,60,8,340.35
260,HWHD001 3'' inch Motorcycle DVR dual Dash Cam 720P+480P Front and Rear View Recorder G-Sensor Wide Angle with Night Vision,129.0,54,694,280.43
261,COOLDIN 4 Inch Three Lens Car DVR HD 1080P 170 Wide Angle G-Sensor Motion Detection With Rear View Camera Video Recorder Dashcam,99.0,72,343,353.57
262,EKLEVA 3 Channel Dash Cam Front And Rear Inside 1080P Dash IR Night Vision  Loop Recording Car DVR Camera With 2 Inch IPS Screen 3 Cam,113.76,64,12,316.0
263,EKLEVA Car Video Recorder FHD 1080P Car Video Camera Dual Lens for Vehicles  Front & Rearview Mirror Car DVR Dash Cam Reverse Parking System  Rear Cam LED Night Vision & Waterproof,85.83,15,12,100.98
264,"EKLEVA 4K Dash Cam 2160P Built-in GPS Mini Wifi Car DVR 24H Parking Monitior 1080P HD Night Vison 140 FOV Driving Recorder 30 Frames 4K+Ethernet 2K+built-in GPS, Piano Paint, 5-layer Protection Process, Multi-layer Metal Radiator",404.13,55,27,898.07
265,【Ready Stock】70mai 1080P RC06 Rearview Cam for 70mai Dash Cam A500S A800 A800S,99.0,40,15000,165.0
266,DDPai Dash Cam Mini 1080P HD Vehicle Drive Auto Video Built-in Wifi Smart Car Recorder Global Version,149.0,50,542,298.0
267,"1080P Full HD Car Camera Front Loop Recording Car Camcorder Motion Detection Night Vision 140 Degree View Angle,With Or Not Card",34.46,51,396,70.33
268,"【Local stock】HWD002 dashcam for car 4"" inch front and rear Car Camera Recorder 1080P HD 3 Lens dash cam super night vision DVR行车记录器",89.0,9,420,97.8
269,"GPS  4K Dash Cam Wifi ADAS Car Camera Asawin A18 Front And Rear 2.35"" Touch Ips Screen Night Vision LDWS FCWS G-sensor Support 24H Park Mode",152.8,5,10,160.84
270,📸 Car Camera Recorder 3 Channel Touchscreen DVR 1080P HD 3 Lens Dashcam Tricam Dash Cam 170° Front Camcorder Rear View,109.9,50,129,219.8
271,Mr.Ho HD027 Full HD 4.3inch DashCam for car front and Rear view dash camMirror Car DVR  Camera Video Auto Driving Recorder行车记录器,59.0,66,41,173.53
272,24H Record 1080P GPS Dashcam for Car Dash Cam Dual Camera Front & Back With Night Vision WDR APP DVR Mini Car Camera Recorder,84.9,77,51,369.13
273,70Mai Dashcam Pro Plus+ A500s 1944P Super High Resolution 2” IPS Display 24 Hours Parking Monitoring Built-In GPS Compatible with 70Mai App,298.0,17,21,359.04
274,DDPAI Dash Cam Z50 4K 2160P Full HD GPS Version Front Rear Dashcam 24hrs Recording,469.0,23,49,609.09
275,FHD 1080P Wifi 3 Channel Dashcam Infrared Night Vision Panoramic 360° 24h Parking Monitor Dash Cam,85.9,45,282,156.18
276,Asawin H5PRO-ST 10 inci 2K Cermin Pandangan Belakang Dual Lens Dash Cam Depan Dan Belakang Untuk Dvr Kereta 1440P Skrin Sentuh Penglihatan Malam,179.0,52,51,372.92
277,ADAS Auto DVR Camera HD 720P Dash Camera USB Loop Record G-sensor  Car Recorder for Android,33.89,34,283,51.35
278,"EKLEVA 10"" Car DVR 4K WIFI Dash cam Touch Screen Stream Media Camera 2160P GPS Dual Lens Time-lapse Video IP68 Waterproof Rear camera",267.52,54,22,581.57
279,🔥4K UHD Premium Dash Cam🔥X70 Wifi DashCam Front 4K•2K Video Quality & Rear 1080p,489.0,35,6,752.31
280,✨ READY STOCK 70 mai Malaysia Version English Version 70mai Car Recorder Dashcam 1S 1080p HD Video 130 FOV Kereta Car Cam Record Kamera Kereta DVR Original 100%,67.77,66,256,199.32
281,ONWRACE 2.5 Inch LCD 1080P Car DVR Camera Dash Cam Video Recorder G-sensor Night Vision,31.51,13,37,36.22
282,High Definition Wifi Driving Recorder 360 Front And Rear Dual Lens Ultra High Definition 1080p Camera,78.45,20,11,98.06
283,3 Channel  Dashcam for Car FHD 1080P Wifi Dashcam Infrared Night Vision Panoramic 360° 24h Parking Monitor Dash Cam Driving Video Recorder,95.0,30,351,135.71
284,Pioneer ND-DVR160s P1 Dashcam DVR Car Recorder 1080P CAR DASH CAM Front and Rear Camera,199.0,27,5,272.6
285,Dahua M1 Pro Dashcam 1080P ultra high resolution image,199.0,45,563,361.82
286,70mai A810 Ultra HD 4K Dash Cam Built-in GPS ADAS 150°FOV Motion Detection Car DVR Support Rear Cam,619.0,35,18,952.31
287,[Local Warranty 1 Year] Malaysia Version English Version 70mai Dashcam PRO PLUS+ A500S Car Recorder 1944P Rear Cam GPS App Control Night Vision Dual Vision A500s With RC06 Rear Camera,109.9,59,12,268.05
288,Full HD 1080P Security Camcorder Mini WiFi Camera 4K Camcorder XD Night Vision Cam Motion Detection Video Loop Recording,29.43,64,16,81.75
289,70mai A500S 2K Dashcam Pro+ Plus Global Version,349.0,14,19,405.81
290,DDPAI Mola N3 Pro Front and Rear 1600P HD GPS Vehicle Drive Auto Video DVR Dash Cam,309.0,47,6,583.02
291,3 CAMERA 1080P HD 3 Lens Car DVR Dash Cam G-Sensor Recorder+Rearview,74.5,47,11,140.57
292,EKLEVA 5 inch Center Console Car DVR Camera With Rear View Camera HD 1080P Dash Cam Night Vision Wide Angle Video Recorder Auto Dashcam,115.56,65,38,330.17
293,"(Ship from Malaysia) 4"" Touch Screen Car Dash Cam 1296P Dual Lens  Video Recorder Front and Rear Reverse Camera Night Vision 170 degree Wide Angle Dashcam with 32G memory card",65.5,5,461,68.95
294,Car DVR 3 Cameras Lens 4.0 Inch Dash Camera 1080P Dual Lens support Rearview Camera Video Recorder Auto Registrator G sensors Night Vision TF 32G,74.1,62,118,195.0
295,70mai A500s Dash Cam Pro Plus+ 1944P QHD+ Support Dual Channel Recording ( Front + Rear ) with Built-In GPS & ADAS,346.2,62,885,911.05
296,70MAI 1S 1080P Car Recorder Dashcam Dashboard 70 MAI Car Cameras WiFi APP CONTROL SONY IMX307 English Version,179.0,18,62,218.29
297,EKLEVA 4K Dashcam 3 Channel Front 4K+Inside1080P+Rear 2.5K Car DVR IMX335 Sensor 3 Camera With WIFI GPS WDR 24H Parking Monitoring,339.69,1,982,343.12
298,AZDOME M01PRO 1080P Full HD Dual Channel Front & Rear DashCam Night Vision ADAS Car Camera Driving Recorder,138.0,60,28,345.0
299,DDPAI Mini Pro Dashcam - Original 1 Year Warranty by DDPAI Malaysia,139.0,39,13,227.87
300,AZDOME M330 1080P Full HD Front DashCam Night Vision App Control Car Camera Driving Recorder,132.0,64,17000,366.67
301,KZNGZOG 24-hour Uninterrupted Driving Recorder Panoramic 360 Front and rear Dual Lens ultra high definition 1080P Reversing image Dashcam for car,79.8,62,950,210.0
302,Asawin H5PRO 10 inch 2K WIFI Mirror Dual Lens Dash Cam For Car Dvr 1440P Touch Screen Video Recorder Registrator Night Vision,203.0,30,12,290.0
303,Dashcam 24H Touch Night Vision FULL HD 1080P Front And Rear Camera 4.0 Inch CAR DVR Mirror Digital Video Recorder Dvr Black Box,70.39,19,11,86.9
304,3 Lens (Front + Interior + Rear) Dash Camera Car Dash Cam Video Recorder Night Vision 1080P FHD GOQ D90,85.0,30,12000,121.43
305,1080P DVR Dash Camera Front Rear Camera Driving Recorder Dashcam Support Night-Vision Loop Recording One-Key Lock,70.75,40,8,117.92
306,"COOLDIN 4.0 Touch Screen Dash Cam 1080P HD Car Recorder 170° Wide Angle Night Vision Dashboard Front and Rear Dual Cameras with G-Sensor, Loop Recording, WDR, Parking Guard",83.0,27,6,113.7
307,Dash Cam for Cars Free 64GB Dash Cam 360 Degrees Car DVR WiFi GPS 24h Parking Monitor 4 Lens HD 1080P Video Recorder APP Control,300.19,44,5,536.05
308,[New Launch] 70mai S500 Rearview Dashcam Wide with Night Vision Backup Camera RC13,609.0,27,10,834.25
309,Asawin A4M 2K Dash Cam Wifi Adas Ultra HD 1440P Dual Channel Front & Rear DashCam Night Vision App Control Car Camera Driving Recorder,181.8,52,18,378.75
310,EKLEVA 4G Hidden Dual Dash Cam FHD 1080P WiFi Tracker Live Remote Monitor Loop Video Recording 24H Parking Guard Night Vision,371.22,73,54,1374.89
311,Pioneer ND-DVR30s P7 Dashcam DVR Car Recorder 2K HDR Front and Rear Camera Voice Control Wifi Phone Connect,49.9,22,450,63.97
312,[ YI MALAYSIA ]English Version YI Mirror DashCam front and rear cam free 3M Sticker (International Edition)Up To 64GB Micro SD,239.0,3,176,246.39
313,Car Dashcam Botslab by 360 dashcam G500H Front and Rear 2K FHD Built-in GPS Include Reverse Camera Function,440.02,7,5,473.14
314,【1YearWarranty】70mai M300 Car Recorder Dash Cam 1296P 140 FOV WDR App Control Parking Mode/24Jam Ship Out,205.0,54,8,445.65
315,Reverse image Dashcam HD 4 Pin Small Butterfly Dashcam HD Night Vision waterproof sun protection,13.61,28,24,18.9
316,18 MONTHS WARRANTY | DDPAI Dash Cam Mola N3 / N3 Pro 1600P UHD 2K GPS DVR Android Wifi Smart Connect Dashcam,205.0,30,27,292.86
317,70mai Car Recorder Dashcam M300 Dash Cam 1296P 140 FOV WDR App Control Parking Mode,195.0,37,16,309.52
318,Pioneer ND-DVR160s P6 4 Inch Screen 720p HD Dashcam Rearview Mirror Recorder Front Camera Ultra-thin Body Reverse Image,49.9,32,34,73.38
319,Auto Dash Camera Useful Loop Recording USB2.0 Interface Car Driving Recorder Dash Cam Auto Supplies,97.66,50,27,195.32
320,Vtopek FHD 1080P 2K USB Dash Cam ADAS DVR For Android Multimedia Car Player Hidden Type Loop Recording G-Sensor ﻿,45.2,48,34000,86.92
321,Dual Lens Camera Car Recorder DVD Full 1080p HD Dash Cam Front+Rear Dual Cameras Camera DVR Car Recorder (NO COD!!!),54.0,42,26,93.1
322,70mai A810 4K Dash Cam Dual Vision Car Recorder with GPS ADAS Dashcam Recorder Surveillance,619.0,34,233,937.88
323,70Mai [M300] 1296P HD Dashcam (Original),199.0,48,39,382.69
324,[Local Warranty 1 Year] Malaysia Version English Version 70mai Dashcam PRO PLUS+ A500S Car Recorder 1944P Rear Cam GPS App Control Night Vision Dual Vision A500 With RC06 Rear Camera,109.9,14,21,127.79
325,Car Dvr 4K HD Front and Rear Camera Dash Cam for Cars WIFI for Vehicle Video Recorder Rear Black Box View Camera Parking Monitor,81.47,33,418,121.6
326,USB Dash Cam Professional Car Camera Recorder 1080P HD ADAS Car Night Version DVR Camera 高清行车记录仪,57.85,21,8,73.23
327,1440P Dash Camera Driving Recorder Car HD Camera Built-In DVR Recorder Dashcam Double Recording Hidden Monitoring,48.3,50,19,96.6
328,"【Shipping From Malaysia】 1296P Dual Lens 4"" Touch Screen Car Dash Camera Recorder DVR Dash Cam Front and Rear Reverse Cam Recording Night Vision 170° degree Wide Angle Dashcam with memory card 32G",92.0,46,30,170.37
329,Linke S1 3 Camera Lens Car HD 1080P 24h Parking Monitor DVR Wifi Dash Cam Video Recorder Dashcam for car front and back,89.8,55,12,199.56
330,Auto Dash Camera Useful Loop Recording USB2.0 Interface Car Driving Recorder Dash Cam Auto Supplies,97.66,53,88,207.79
331,DDPAI Z50 4K 2160P Dash Cam GPS Front + Rear Cam,649.0,53,26,1380.85
332,DDPAI WiFi Car DVR Mini Pro HD Night Vision 1296P Dash Cam Recorder,137.61,34,13,208.5
333,EKLEVA 12 Inch  AHD 4K Car Dash Cam Rearview Mirror 3 Cameras Video Recorder Support CarPlay WIFI Bluetooth Connection GPS Car DVR,427.17,38,12,688.98
334,STAPON dashcam 1280x720p USB DVR for android unit ADAS Automatic loop recording Collision lock file S15,37.32,55,48000,82.93
335,EKLEVA Dash Cam for Cars 3 Channel Car DVR HD 1080P Vehicle Dashcam Front and Rear Camera DVRs Video Recorder Registrator Black Box,144.62,42,807,249.34
336,70mai dashcam LF10 Pro 2 Camera dashcam for car Front Dash Cam 24H Record FHD 2K UHD+1080P Rear Cam Night Vision 170° FOV WDR App Control Smart Wifi Loop Recording G-Sensor Auto Voice Prompt,215.55,35,27,331.62
337,Gnet G-onx 2ch dual channel dashcam dvr car recorder made in korea 24hr 2 year warranty Adas parking camera,690.0,40,203,1150.0
338,EKLEVA 4K Dash Camera Car DVR Video Recorder Ultra HD 2160P Gesture APP GPS Track WiFi Night Vision Dashcam Support 1080P Rear Camera Gesture photo Function,369.64,30,9,528.06
339,🌟🌟 New Arrived 🌟🌟 DDPAI N1 Dual-Channel Dashcam Recorder | 1296P | 24H Parking Monitoring |20(年老字号),298.0,52,410,620.83
340,FineVu GX1000 2K front and rear dashcam dvr recorder korea sony starvis gps smart AI adas,1649.0,54,37,3584.78
341,DDPAI Dash Cam Mola E3,320.0,25,17000,426.67
342,EKLEVA Dash Cam For Car 1080P HD Night Vision Car Camera Recorder Wi-Fi Hidden Dashcam Motion Detection dvr 170°FOV Camera For Car,101.96,50,123,203.92
343,HWD010 2K WIFI Dashcam for car 3'' Inch Dual Lens Car camera Recorder front and interior dash cam App Control DVR行车记录器,95.0,36,40,148.44
344,70mai M500 Dashcam Car Recorder 1944P Night Vision with ADAS 24 hours parking mode Voice and App Control,439.0,35,35000,675.38
345,70mai A500s Dashcam Pro Plus+ Built-in GPS Car Recorder 1944P Dual Record A500 Night Vision ADAS Parking Mode App Access,380.0,42,49,655.17
346,【Ready Stock】3 Camera Lens Dashcam 3 Lens Car 1080P DVR HD Video Recorder with Front + Interior + Rear Camera Dashcam Parking Monitor,84.9,44,13,151.61
347,Dash Cam Front and Rear Dual Lens 4K&1296P Recording Car Camera DVR Built-In WiFi G-Sensor Night Vision Loop Recorder Dashcam,62.79,29,377,88.44
348,AZDOME M27S Full HD Dual Channel Front & Rear DashCam Night Vision Built-in GPS Car Camera Driving Recorder,212.0,47,24,400.0
349,10/12 inch 4K DashCam for Cars Rear View Mirror Wireless CarPlay Android Auto Car DVR GPS Video Recorder car intelligent systems,146.0,60,901,365.0
350,70mai A200 Car DVR Dashcam Dual Front n Rear Channel 1080P Full HD+ HDR Add On With 24h Parking Surveillance,249.0,43,61,436.84
351,Dash Cam Front and Rear Camera WiFi GPS 1080P Car DVR Auto Drive Video Recorder Dashcam Night Vision Parking Monitor Black Box,106.63,57,58,247.98
352,10.26‘’ Wireless CarPlay & Android Auto Dash Cam ADAS 4K DVR Bluetooth Audio GPS Navigation Dashboard Dual Lens Video Recorder,231.68,4,6,241.33
353,[New Launch] 70mai A510 Dash Cam Dual Vision Car Recorder with GPS ADAS [Malaysia Autoshow 2024],409.0,38,51,659.68
