,product_name,price_RM,discount_percent,quantity_sold,original_price_RM,brand
55,"ROADCAM R3 Budget Basic Dash Cam Front and Rear Dual Channel Recording Full HD 1080P (4"" Screen) with 6 Meter Rear Cam",77.0,65,17000,220.0,other/unstated
56,【Malaysia Spot Sale】2024 FHD 3 camera driving recorder 1080P wide Angle three lens recorder in front of the car inside the car high-definition driving camera 行车记录仪,65.9,56,77000,149.77,other/unstated
57,[English] 70mai A400 Car Recorder Dash Cam QHD 1440P Front Cam Night Vision 145 FOV WDR App Control Smart,266.1,54,59,578.48,70mai
58,70mai A400 Car Recorder Front Dash Cam QHD 1440P Night Vision 145 FOV WDR App Control Smart,299.0,55,171000,664.44,70mai
59,"Professional Car Dash Camera Dash Cam Smart Car Dash Camera 1080P HD Reusable Car Camera Driving Recorder with 3"" LCD Display Smart Dash Cam",44.1,33,97,65.82,other/unstated
60,70mai A500s Dashcam Car Recorder 70mai (APP Control) GPS Function ADAS Parking Mode 1944p Dual Record,348.88,53,194,742.3,70mai
61,EKLEVA 3 Camera Lens Car DVR 3-Channel Dash Cam HD 1080P Dash Camera Dual Lens Dashcam Video Recorder 24H Parking Monitoring Dashcam,189.85,19,13,234.38,ekleva
62,3in1 Dash Cam Car Camera DVR HD 1080P 170 Wide Angle Cycle Recorder G-Sensor 3 IN 1 Dashcam Ready Stock,65.78,70,272,219.27,other/unstated
63,AZDOME M550PRO 2160P/4K Ultra HD 3 Channel Front & Rear DashCam Night Vision App Control Car Camera Driving Recorder,309.0,77,179,1343.48,azdome
64,1080P Q2 Mini Car DVR Recorder Audio Camera Driving Recording,27.5,39,176,45.08,other/unstated
65,"Car Dash Cam 1080P Dual Lens 4""Touch Screen Video Recorder Front and Rear Reverse Camera Night Vision 170° degree Wide Angle Dashcam",77.79,77,21,338.22,other/unstated
66,Asawin Adas Car Camera Wifi For Car Dvr LDWS FCWS 2K Front and Rear Dual Lens APP Control Night Vison 3 Inch IPS Dash cam,73.8,31,326,106.96,asawin
67,1080P FULL HD Mirror Car Dash Cam Front & Back Video DVR Camera,59.88,60,146,149.7,other/unstated
68,"【Malaysia Spot Sale】Dash Cam Car HD 1296P/1080P 4"" Touch Screen Dual Lens Front And Rear Night Vision 170° Wide Loop Recording",92.0,49,15000,180.39,other/unstated
69,EKLEVA 4K Dashcam 3 Channel Front 4K+Inside1080P+Rear 2.5K Car DVR IMX335 Sensor 3 Camera With WIFI GPS WDR 24H Parking Monitoring,369.33,23,297,479.65,ekleva
70,Dash Cam Front and Rear Dual Lens 4K&1296P Recording Car Camera DVR Built-In  -Sensor Night Vision Loop Recorder Dashcam,53.83,14,280,62.59,other/unstated
71,South Ocean FHD 1080P Wifi 3 Channel Dashcam Infrared Night Vision Panoramic 360° 24h Parking Monitor Dash Cam,89.9,53,11000,191.28,southocean
72,South Ocean 3 Camera Lens Car HD 1080P 24h Parking Monitor DVR Wifi Dash Cam Video Recorder Dashcam,69.9,38,19000,112.74,southocean
73,EKLEVA USB Dash Cam Car Video Camera Night Vision Dash Cam Video Recorder Support Android Car Player USB Camera 170° Wide Angle Car Dashcam Hidden Auto DVR Register,40.88,51,15000,83.43,ekleva
74,【8.8 Mesti Beli】 BuzzTech 10 Inch Touch Screen Dash Cam Car DVR Mirror Video Recorder Car Dual Lens Recorder Dash Camera 行车记录仪,138.8,24,67,182.63,buzztech
75,Upgraded 4 Channel WiFi Built-in GPS Dashcam FHD 1080P Infrared Night Vision 24h Parking Monitor Dash Cam,274.0,50,450,548.0,other/unstated
76,South Ocean 24H Record 1080P GPS Dashcam for Car Dash Cam Dual Camera Front & Back With Night Vision WDR APP DVR Mini Car Camera Recorder,119.0,48,20000,228.85,southocean
77,KANGZOG 行车记录仪 24 Hours Record 1080P FHD 3 Camera Dashcam for Car Front + Interior + Back / Rear Dash Cam Night Vision Parking Mode Car DVR Driving video Recorder 行车记录器,79.8,56,147000,181.36,kangzog
78,G30 Car DVR Camera Full HD 1080P 140 Degree Dash Cam Video Register For Car Night Vision G Sensor Dash Cam 1.5 Inch Driving Night Vision Video Recorder With Windshield Xiaomi 32G Memory Card,38.38,51,24,78.33,xiaomi
